 Race , Age  , Trial     , LettersSent ,YYES,YNO,Y3,Y4,Y5,Test
 B    ,53,2,0,YES,YES,YES,NO,YES,YES
 B    ,70,2,0,YES,NO,YES,NO,YES,NO
 W    ,92,2,0,YES,YES,YES,YES,YES,YES
 B    ,45,2,0,YES,NO,YES,NO,YES,YES
 W    ,64,2,0,YES,NO,YES,NO,YES,YES
 W    ,36,2,0,YES,YES,YES,NO,YES,YES
 W    ,52,2,0,YES,NO,YES,NO,YES,YES
 W    ,39,2,0,YES,NO,YES,NO,YES,YES
 W    ,60,2,0,YES,YES,YES,NO,YES,YES
 W    ,32,2,0,YES,NO,YES,YES,YES,YES
 W    ,69,2,0,YES,NO,YES,NO,YES,YES
 W    ,54,2,0,YES,NO,YES,YES,YES,YES
 A    ,40,2,0,YES,NO,YES,YES,YES,YES
 W    ,38,2,0,YES,NO,YES,NO,YES,YES
 W    ,51,2,0,YES,YES,YES,YES,YES,YES
 B    ,34,2,0,YES,YES,YES,NO,YES,YES
 W    ,26,2,0,NO,YES,YES,YES,YES,YES
 W    ,64,2,0,NO,NO,YES,YES,YES,YES
 U    ,75,2,0,NO,NO,NO,NO,NO,NO
 W    ,38,2,0,NO,NO,NO,YES,YES,YES
 W    ,43,2,0,NO,NO,NO,YES,YES,YES
 W    ,39,2,0,NO,NO,NO,YES,YES,YES
 B    ,21,2,0,NO,NO,NO,NO,YES,YES
 B    ,26,2,0,NO,NO,YES,YES,YES,YES
 W    ,61,2,0,YES,NO,NO,NO,YES,YES
 U    ,40,2,0,NO,NO,YES,YES,YES,NO
 W    ,27,2,0,NO,NO,YES,YES,YES,YES
 B    ,19,2,0,NO,NO,NO,NO,NO,YES
 O    ,19,2,0,NO,NO,NO,NO,NO,NO
 W    ,58,2,0,YES,NO,YES,YES,YES,YES
 W    ,47,2,0,YES,NO,YES,YES,YES,YES
 W    ,42,2,0,YES,YES,YES,NO,YES,YES
 W    ,58,2,0,YES,NO,YES,NO,YES,YES
 W    ,54,2,0,YES,NO,YES,YES,YES,YES
 U    ,70,2,0,YES,NO,YES,NO,YES,YES
 W    ,37,2,0,YES,NO,YES,YES,YES,YES
 O    ,62,2,0,YES,NO,NO,NO,YES,YES
 W    ,51,2,0,YES,NO,YES,YES,YES,YES
 B    ,61,2,0,YES,YES,YES,NO,YES,YES
 W    ,37,2,0,YES,YES,YES,YES,YES,YES
 W    ,36,2,0,YES,YES,YES,YES,YES,YES
 W    ,33,2,0,YES,NO,YES,YES,YES,NO
 W    ,34,2,0,YES,NO,YES,NO,YES,NO
 W    ,35,2,0,YES,NO,YES,YES,YES,YES
 W    ,32,2,0,YES,YES,YES,YES,YES,YES
