id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent ,Y1,Y2,Y3,Y4,Y5,Test
280,1,1,1,87,1,1,0,1,1,1,1,1,2
281,2,1,1,38,1,1,0,1,1,1,2,1,2
282,1,1,1,42,1,1,0,1,1,1,2,1,1
283,1,1,1,33,1,1,0,2,2,2,2,1,2
284,3,3,1,20,1,1,0,2,2,2,2,1,1
285,3,1,1,28,1,1,0,1,2,2,2,1,2
286,2,3,1,47,1,1,0,2,2,2,2,2,2
287,1,3,1,21,1,1,0,2,2,2,2,2,2
288,6,1,1,68,1,1,0,1,1,1,2,1,1
289,2,3,1,37,1,1,0,2,2,2,2,1,1
290,2,3,1,39,1,1,0,2,2,2,2,2,2
291,4,1,2,77,1,1,0,2,2,2,2,1,2
292,2,1,1,45,1,1,0,2,2,2,2,2,1
293,1,3,1,19,1,1,0,2,2,2,2,2,1
294,1,3,1,39,1,1,0,2,2,2,2,2,2
295,1,1,1,19,1,1,0,2,2,2,2,2,2
296,2,3,1,20,1,1,0,2,2,2,2,2,2
297,1,1,1,78,1,1,0,1,2,1,1,1,1
298,1,1,1,46,1,1,0,1,1,1,1,1,2
299,2,1,1,47,1,1,0,1,1,1,1,1,2
300,5,3,1,56,1,1,0,1,1,1,2,1,1
301,1,1,1,48,1,1,0,1,2,2,2,1,1
302,1,3,1,46,1,1,0,1,2,1,2,1,1
303,1,1,1,65,1,1,0,1,2,1,2,1,1
304,1,1,1,65,1,1,0,1,1,1,2,1,1
305,5,3,1,39,1,1,0,1,2,1,1,1,1
306,2,1,1,67,1,1,0,1,1,1,1,2,1
307,1,3,1,64,1,1,0,1,2,1,2,1,1
308,1,1,1,69,1,1,0,2,2,1,2,1,2
309,2,1,1,35,1,1,0,1,2,1,2,1,2
310,1,1,1,37,1,1,0,1,2,1,1,1,1
311,1,1,1,40,1,1,0,1,2,1,2,1,1
312,2,3,1,56,1,1,0,1,2,1,1,1,1
313,1,1,1,40,1,1,0,1,1,1,2,1,1
314,1,1,1,59,1,1,0,2,2,1,1,1,2
315,2,1,1,26,1,1,0,2,1,1,2,1,1
316,1,1,1,29,1,1,0,1,1,1,1,1,1
317,1,3,1,86,1,1,0,2,2,1,1,2,2
318,1,1,1,75,1,1,0,2,2,2,1,1,2
319,1,3,1,42,1,1,0,2,2,2,2,1,1
320,2,3,1,23,1,1,0,2,2,2,1,1,1
321,1,3,1,53,1,1,0,1,2,1,1,1,1
322,1,1,1,56,1,1,0,2,2,2,2,1,1
323,1,3,1,37,1,1,0,2,2,2,2,1,1
324,1,1,1,56,1,1,0,2,2,2,2,1,1
325,5,1,1,66,1,1,0,2,2,2,2,1,2
326,1,3,1,19,1,1,0,2,2,2,2,2,1
327,5,3,1,39,1,1,0,2,2,2,2,2,2
328,1,3,1,22,1,1,0,2,2,2,2,2,2
329,1,3,1,66,1,1,0,1,2,1,1,1,1
330,1,1,1,56,1,1,0,1,1,1,2,1,2
331,2,1,1,38,1,1,0,1,2,2,2,1,2
332,1,3,1,48,1,1,0,1,2,1,2,1,1
333,2,1,1,81,1,1,0,1,1,1,1,1,2
334,2,1,1,40,1,1,0,1,2,1,1,1,1
335,1,1,1,44,1,1,0,1,1,1,2,1,1
336,1,3,1,34,1,1,0,1,2,1,1,1,1
337,1,1,1,38,1,1,0,1,2,1,1,1,1
338,1,3,1,46,1,1,0,1,2,1,1,1,1
339,2,1,1,45,1,1,0,1,1,1,2,1,2
340,1,3,1,40,1,1,0,2,2,1,2,1,1
341,1,3,1,57,1,1,0,1,2,1,1,1,1
342,2,1,1,61,1,1,0,1,2,1,1,1,1
343,1,3,1,47,1,1,0,1,2,1,1,1,1
344,2,1,1,46,1,1,0,1,2,1,1,1,1
345,1,3,1,44,1,1,0,2,2,1,2,1,1
346,2,1,1,32,1,1,0,1,2,1,1,1,2
347,1,1,1,56,1,1,0,1,2,1,1,1,2
348,2,1,1,36,1,1,0,1,1,1,2,1,2
349,1,1,1,53,1,1,0,1,2,1,1,1,1
350,2,3,1,29,1,1,0,1,2,1,1,1,1
351,2,1,2,41,1,1,0,1,1,1,1,1,1
352,3,1,1,49,1,1,0,1,1,1,2,1,2
353,1,3,1,45,1,1,0,1,2,1,1,1,1
354,1,3,1,55,1,1,0,1,2,1,1,1,1
355,1,3,1,36,1,1,0,2,2,1,2,1,1
356,1,1,1,45,1,1,0,1,1,1,2,1,1
357,2,1,1,51,1,1,0,2,2,1,2,1,1
358,1,1,1,23,1,1,0,2,2,2,1,1,1
359,2,1,1,42,1,1,0,2,2,2,1,1,1
360,2,1,1,28,1,1,0,2,2,2,1,1,2
361,1,3,1,35,1,1,0,2,2,2,1,1,1
362,1,3,1,27,1,1,0,2,2,2,2,1,2
363,1,1,1,39,1,1,0,2,2,2,1,1,1
364,2,1,1,21,1,1,0,2,2,2,2,1,1
365,2,3,1,20,1,1,0,2,2,2,2,2,1
366,2,1,1,68,1,1,0,2,2,2,2,1,2
367,2,3,1,62,1,1,0,2,2,1,2,1,1
368,2,3,1,27,1,1,0,2,2,2,1,1,1
369,4,3,2,37,1,1,0,2,2,2,2,1,1
370,5,3,1,38,1,1,0,2,2,2,2,1,1
371,1,3,1,34,1,1,0,2,2,2,2,1,2
372,1,3,1,48,1,1,0,2,2,2,2,2,2
373,1,1,1,59,1,1,0,2,2,2,2,2,1
374,6,3,1,19,1,1,0,2,2,2,2,2,2
375,1,1,1,59,1,1,0,2,2,2,1,1,1
376,1,3,1,25,1,1,0,2,2,2,2,2,2
377,2,1,1,29,1,1,0,1,1,1,2,1,2
378,1,1,1,84,1,1,0,1,1,1,1,1,2
379,1,1,1,55,1,1,0,1,1,1,2,1,1
380,1,1,1,66,1,1,0,1,2,1,1,1,2
381,1,1,1,65,1,1,0,1,2,1,1,1,1
382,1,1,1,62,1,1,0,1,2,1,2,1,1
383,2,1,1,48,1,1,0,1,1,1,1,1,1
384,1,1,1,57,1,1,0,1,2,1,1,1,1
385,1,1,1,86,1,1,0,1,1,1,2,1,2
386,1,1,1,67,1,1,0,1,2,1,1,1,2
387,1,3,1,33,1,1,0,1,2,1,1,1,1
388,1,1,1,66,1,1,0,1,2,1,2,1,1
389,1,3,1,33,1,1,0,1,2,1,2,1,1
390,2,1,1,31,1,1,0,2,2,1,1,1,1
391,1,1,1,81,1,1,0,1,2,1,1,1,1
392,5,1,1,81,1,1,0,1,1,1,2,1,2
393,2,1,1,30,1,1,0,1,2,1,1,1,2
394,1,1,1,27,1,1,0,2,1,1,2,1,1
395,2,1,1,40,1,1,0,2,2,1,1,1,1
396,1,3,1,38,1,1,0,2,2,1,1,1,1
397,1,3,1,32,1,1,0,2,2,1,2,1,2
398,1,3,1,46,1,1,0,2,2,1,2,1,1
399,1,1,1,65,1,1,0,2,2,1,1,1,1
400,2,1,1,26,1,1,0,2,2,1,1,1,1
401,2,1,1,40,1,1,0,2,2,1,2,1,2
402,2,1,1,30,1,1,0,2,2,1,1,1,1
403,1,3,1,24,1,1,0,2,2,2,1,1,1
404,1,3,1,31,1,1,0,2,2,1,1,1,1
405,2,3,1,28,1,1,0,2,2,2,1,1,2
406,1,3,1,34,1,1,0,2,2,1,1,1,1
407,1,1,1,60,1,1,0,2,2,1,2,1,2
408,1,1,1,22,1,1,0,2,2,2,2,1,1
409,1,1,1,41,1,1,0,2,2,2,2,1,1
410,1,3,1,42,1,1,0,1,2,2,1,1,1
411,5,1,1,37,1,1,0,2,2,2,2,1,1
412,3,1,1,43,1,1,0,2,2,2,2,2,2
413,2,1,1,57,1,1,0,2,2,2,2,1,1
414,2,1,1,20,1,1,0,2,2,2,2,2,2
415,6,1,1,64,1,1,0,2,1,1,1,1,2
416,4,1,1,53,1,1,0,2,2,2,2,1,1
417,1,3,1,20,1,1,0,2,2,2,2,1,1
418,2,3,1,55,1,1,0,2,2,2,2,1,2
419,1,1,1,20,1,1,0,2,2,2,2,2,2
420,1,1,1,23,1,1,0,2,2,2,2,2,2
421,4,3,2,39,1,1,0,2,2,2,2,1,1
422,1,1,1,48,1,1,0,2,2,2,2,1,1
